MOUSE.ENTREZ.ID	MOUSE.GENE.NAME	HUMAN.ENTREZ.ID	HUMAN.GENE.NAME	ZIV_synapse	ZIV_full	BIESMANN_2014	FILIOU	CHANG.2015	DAHLHAUS.2011	DISTLER_2014	KOHANSAL.NODEHI_2016	HEO_2018	ALFIERI_2017	GONZALEZ_LOZANO_2016	LIU_2014
269109	Dpp10	57628	DPP10	0	1	0	1	1	1	1	1	1	0	1	1
18611	Pea15a	8682	PEA15	0	0	0	1	1	0	1	1	1	0	1	0
72183	Snx6	58533	SNX6	0	1	0	1	1	0	1	1	1	0	0	0
20912	Stxbp3a	6814	STXBP3	1	1	0	1	1	0	1	1	1	0	0	0
208846	Daam1	23002	DAAM1	0	0	0	1	0	1	1	1	1	0	1	0
13518	Dst	667	DST	0	1	0	1	1	0	1	1	1	1	1	1
235315	Rnf214	257160	RNF214	0	0	0	1	0	0	1	1	1	0	0	0
17136	Mag	4099	MAG	0	0	0	1	1	0	1	1	0	0	1	1
19229	Ptk2b	2185	PTK2B	0	1	0	1	1	0	1	1	1	0	1	1
30960	Vapa	9218	VAPA	1	1	0	1	1	1	1	1	1	0	1	1
16202	Ilk	3611	ILK	0	0	0	0	1	0	0	0	0	0	0	0
98660	Atp1a2	477	ATP1A2	0	1	0	1	1	1	1	1	1	0	1	1
15505	Hsph1	10808	HSPH1	0	1	0	0	1	0	1	1	1	0	1	1
22612	Yes1	7525	YES1	0	1	0	1	1	0	1	1	0	0	0	0
56216	Stx1b	112755	STX1B	1	1	0	1	1	1	1	1	1	0	1	1
67490	Ufl1	23376	UFL1	0	1	0	1	0	0	0	1	1	0	0	0
22388	Wdr1	9948	WDR1	0	1	0	1	1	1	1	1	1	0	1	1
116733	Vps4a	27183	VPS4A	0	0	0	1	1	0	1	1	0	0	1	0
66194	Pycrl	65263	PYCRL	0	1	0	0	0	0	0	1	0	0	0	1
54126	Arhgef7	8874	ARHGEF7	0	1	0	1	1	0	1	1	1	1	1	1
226977	Actr1b	10120	ACTR1B	0	1	0	1	1	0	1	1	1	0	1	1
56455	Dynll1	8655	DYNLL1	0	0	1	1	1	1	1	1	1	0	1	0
243312	Elfn1	392617	ELFN1	0	0	0	1	0	0	1	1	0	0	0	0
20844	Stam	8027	STAM	0	1	0	1	1	0	1	1	1	0	0	0
13211	Dhx9	1660	DHX9	0	1	0	1	0	0	1	1	0	0	0	1
11370	Acadvl	37	ACADVL	0	1	0	1	1	0	1	1	1	0	1	0
338367	Myo1d	4642	MYO1D	0	0	0	1	1	0	1	1	0	1	0	1
74610	Abcb8	11194	ABCB8	0	0	0	1	0	0	1	1	1	0	1	0
27402	Pdhx	8050	PDHX	0	1	0	1	1	0	1	1	1	0	1	1
13437	Dnpep	23549	DNPEP	0	1	0	1	1	0	1	1	0	0	0	0
64383	Sirt2	22933	SIRT2	0	1	0	1	1	0	1	1	1	0	1	1
68342	Ndufb10	4716	NDUFB10	0	1	0	1	1	1	1	1	1	0	1	1
16832	Ldhb	3945	LDHB	0	1	0	1	1	1	1	1	1	0	1	1
56526	06-Sep	23157	06-Sep	0	1	0	1	1	1	1	1	1	0	1	1
268902	Robo2	6092	ROBO2	0	1	0	1	1	0	1	1	1	0	1	0
11949	Atp5c1	509	ATP5C1	0	1	0	1	1	1	1	1	1	0	1	1
13401	Dmwd	1762	DMWD	0	0	0	0	1	0	1	0	0	0	0	0
193742	Abhd16a	7920	ABHD16A	0	0	0	1	0	0	1	1	1	0	1	0
245607	Gprasp2	114928	GPRASP2	0	0	0	1	0	0	0	0	0	0	0	0
23983	Pcbp1	5093	PCBP1	0	1	0	0	1	0	1	0	0	0	1	1
76826	Nubpl	80224	NUBPL	0	0	0	1	0	0	1	1	0	0	0	0
20224	Sar1a	56681	SAR1A	0	1	0	0	1	0	1	1	1	0	0	1
108073	Grm7	2917	GRM7	0	0	0	1	0	0	1	1	1	0	1	0
15212	Hexb	3074	HEXB	0	0	0	0	1	1	1	1	1	0	1	0
19988	Rpl6	6128	RPL6	0	1	0	0	1	1	1	1	1	0	1	0
18786	Plaa	9373	PLAA	0	1	0	1	0	0	1	1	1	0	0	1
11459	Acta1	58	ACTA1	0	0	0	1	0	0	1	1	1	0	0	0
108888	Atad3a	55210	ATAD3A	0	1	0	1	1	1	1	1	1	0	1	1
209966	Pgbd5	79605	PGBD5	0	0	0	1	1	0	0	1	0	1	0	0
67247	02-Mar	54996	02-Mar	0	0	0	1	0	0	1	1	1	0	1	1
74370	Rptor	57521	RPTOR	1	1	0	1	0	0	0	1	1	0	0	1
269523	Vcp	7415	VCP	0	1	0	1	1	1	1	1	1	0	1	1
67212	Mrpl55	128308	MRPL55	0	0	0	1	0	0	1	1	0	0	1	0
94090	Trim9	114088	TRIM9	0	0	0	1	0	0	1	1	1	1	1	0
252870	Usp7	7874	USP7	0	1	0	1	1	0	1	1	1	0	0	0
26961	Rpl8	6132	RPL8	0	1	0	1	0	0	1	1	1	0	1	0
19058	Ppp3r1	5534	PPP3R1	0	0	0	1	0	1	1	1	1	0	1	1
72552	Hsdl1	83693	HSDL1	0	1	0	1	0	0	1	1	1	0	1	0
11841	Arf2	NA	NA	0	0	0	1	0	0	1	1	0	0	0	1
17356	Mllt4	4301	MLLT4	1	1	0	1	0	0	1	1	1	1	1	1
30056	Timm9	26520	TIMM9	0	0	0	1	0	0	1	1	1	0	1	0
11845	Arf6	382	ARF6	0	0	0	0	1	0	1	1	1	0	0	0
320271	Scai	286205	SCAI	0	0	1	1	0	1	1	1	1	1	1	1
104445	Cdc42ep1	11135	CDC42EP1	0	0	0	1	1	0	0	0	0	0	0	0
12306	Anxa2	302	ANXA2	0	1	0	1	0	0	1	1	0	0	1	1
23859	Dlg2	1740	DLG2	1	1	1	1	1	1	1	1	1	1	1	1
53421	Sec61a1	29927	SEC61A1	0	1	0	0	0	0	1	1	0	0	0	0
320472	Ppm1e	22843	PPM1E	0	1	0	1	1	0	1	1	1	0	0	1
72125	Amer2	219287	AMER2	0	0	0	1	1	0	1	0	0	0	0	0
241489	Pde11a	50940	PDE11A	0	0	0	1	0	0	1	0	0	0	0	0
75751	Ipo4	79711	IPO4	0	1	0	0	0	0	1	1	0	0	0	0
56433	Vps29	51699	VPS29	0	1	0	0	1	0	1	1	1	0	1	0
72948	Tppp	11076	TPPP	0	1	0	1	1	1	1	1	1	0	1	1
20617	Snca	6622	SNCA	0	0	0	1	1	0	1	1	1	0	1	1
22153	Tubb4a	10382	TUBB4A	0	1	0	1	1	1	1	1	1	0	1	1
59079	Erbb2ip	55914	ERBB2IP	0	0	0	1	1	0	1	0	0	1	0	0
51799	Rundc3a	10900	RUNDC3A	0	0	0	1	0	0	1	1	1	0	1	0
83397	Akap12	9590	AKAP12	0	1	0	1	1	0	1	1	1	0	1	0
51792	Ppp2r1a	5518	PPP2R1A	0	1	1	1	1	0	1	1	1	0	1	1
74741	C2cd5	9847	C2CD5	0	0	0	1	1	0	1	1	1	0	0	0
18521	Pcbp2	5094	PCBP2	0	1	0	1	1	0	1	1	1	0	1	0
55984	Camkk1	84254	CAMKK1	0	0	0	1	1	0	0	1	0	0	0	0
109154	Mlec	9761	MLEC	0	1	0	1	0	0	1	1	1	0	0	0
12805	Cntn1	1272	CNTN1	0	1	0	1	1	1	1	1	1	1	1	1
102058	Exoc8	149371	EXOC8	0	1	0	1	1	0	1	1	1	0	1	1
18563	Pcx	5091	PC	0	1	0	1	1	0	1	1	1	0	1	1
13829	Dmtn	2039	DMTN	0	0	0	1	1	0	1	1	1	0	1	0
329251	Ppp1r12b	4660	PPP1R12B	0	0	0	1	0	0	1	1	0	0	0	0
75572	Acyp2	98	ACYP2	0	0	0	1	1	0	0	1	0	0	1	0
20533	Slc4a1	6521	SLC4A1	0	0	0	0	1	0	1	0	1	0	1	0
22192	Ube2m	9040	UBE2M	0	0	0	0	1	0	1	1	1	0	1	1
20116	Rps8	6202	RPS8	0	1	0	0	0	0	1	1	1	0	1	1
18007	Neo1	4756	NEO1	0	1	0	1	0	0	1	1	1	0	1	0
110279	Bcr	613	BCR	0	1	0	1	1	0	1	1	0	1	1	0
15204	Herc2	8924	HERC2	0	1	0	0	0	0	1	1	0	0	0	0
66945	Sdha	6389	SDHA	0	1	0	1	1	1	1	1	1	0	1	1
22201	Uba1	7317	UBA1	0	1	0	0	1	1	1	1	1	0	1	1
241520	Fam171b	165215	FAM171B	0	0	0	1	1	0	1	1	1	1	1	0
18164	Nptx1	4884	NPTX1	0	0	1	1	1	1	1	1	1	0	1	0
68117	Apool	139322	APOOL	0	1	0	1	1	0	1	1	1	0	1	0
50791	Magi2	9863	MAGI2	0	0	0	1	1	0	1	1	1	0	1	0
223601	Fam49b	51571	FAM49B	0	1	0	1	1	0	1	1	1	0	1	1
101476	Plekha1	59338	PLEKHA1	0	0	0	0	1	0	0	0	0	0	0	0
16564	Kif21a	55605	KIF21A	0	1	0	1	1	0	1	1	1	1	1	1
239552	Apol8	23780	APOL2	0	0	0	0	1	0	0	0	0	0	0	0
69940	Exoc1	55763	EXOC1	0	1	0	1	0	0	1	1	1	0	1	0
15482	Hspa1l	3305	HSPA1L	0	0	0	1	0	0	1	1	0	0	0	0
70097	Sash1	23328	SASH1	0	0	0	1	0	0	1	0	0	0	0	0
234847	Spg7	6687	SPG7	0	0	0	1	0	0	1	1	1	0	1	0
230904	Fbxo2	26232	FBXO2	0	1	0	1	1	0	1	1	0	0	0	1
13682	Eif4a2	1974	EIF4A2	0	1	0	0	1	0	1	1	1	0	1	1
19281	Ptprt	11122	PTPRT	0	0	0	1	0	0	1	0	0	0	1	0
77721	Mrps5	64969	MRPS5	0	1	0	0	0	0	1	1	1	0	0	0
13808	Eno3	2027	ENO3	0	0	0	1	0	0	1	0	0	0	0	0
14252	Flot2	2319	FLOT2	0	1	0	1	1	1	1	1	1	1	1	0
13722	Aimp1	9255	AIMP1	0	1	0	0	1	0	1	1	1	0	0	0
68089	Arpc4	10093	ARPC4	0	0	0	1	1	1	1	1	1	0	1	1
242425	Gabbr2	9568	GABBR2	0	0	0	1	1	0	1	1	1	1	1	1
53857	Tuba8	51807	TUBA8	0	0	0	1	1	0	1	1	0	1	0	0
74020	Cpne4	131034	CPNE4	0	0	0	1	1	0	1	1	1	0	1	0
28295	D10Jhu81e	8209	C21orf33	0	1	0	1	0	0	1	1	1	0	1	1
53310	Dlg3	1741	DLG3	1	1	0	1	1	1	1	1	1	1	1	1
18641	Pfkl	5211	PFKL	0	1	0	1	1	1	1	1	1	0	1	1
104318	Csnk1d	1453	CSNK1D	0	0	0	0	1	0	1	1	0	0	1	0
12215	Bsg	682	BSG	0	1	0	1	1	1	1	1	1	0	1	1
14864	Gstm3	2947	GSTM3	0	1	0	0	1	0	1	0	0	0	0	0
26408	Map3k5	4217	MAP3K5	0	0	0	1	0	0	1	1	0	1	0	0
668212	Efr3b	22979	EFR3B	0	0	0	1	0	0	1	1	1	0	1	0
17524	Mpp1	4354	MPP1	0	0	0	1	1	0	1	0	1	1	1	0
241638	Lzts3	9762	LZTS3	0	0	0	1	0	0	1	1	0	1	1	0
23950	Dnajb6	10049	DNAJB6	0	0	0	1	1	0	1	1	0	0	1	1
237397	C2cd4c	126567	C2CD4C	0	0	0	0	1	0	0	1	0	0	1	0
56428	Mtch2	23788	MTCH2	0	1	0	1	1	1	1	1	1	0	1	1
235086	Igsf9b	22997	IGSF9B	0	0	0	1	0	0	0	1	0	1	0	0
240121	Fsd1	79187	FSD1	0	0	0	1	1	0	1	1	1	0	1	1
108686	Ccdc88a	55704	CCDC88A	0	1	0	1	0	0	1	1	1	0	0	1
11992	Auh	549	AUH	0	1	0	0	0	1	1	1	1	0	1	1
74192	Arpc5l	81873	ARPC5L	0	0	1	1	1	1	1	1	1	1	1	0
213827	Arcn1	372	ARCN1	0	1	0	1	1	0	1	1	1	0	0	0
78618	Acap2	23527	ACAP2	1	1	0	1	0	0	1	1	1	0	1	0
19896	Rpl10a	4736	RPL10A	0	1	0	0	0	0	1	1	1	0	1	0
66411	Tbcb	1155	TBCB	0	1	0	0	1	0	0	1	0	0	1	0
14085	Fah	2184	FAH	0	1	0	1	0	0	0	1	0	0	0	0
66922	Rras2	22800	RRAS2	0	1	0	0	0	1	1	1	1	0	1	0
268490	Lsm12	124801	LSM12	0	0	0	1	0	0	0	1	1	0	0	0
21762	Psmd2	5708	PSMD2	0	1	0	1	1	0	1	1	1	0	1	1
12971	Crym	1428	CRYM	0	1	0	1	1	0	1	1	1	0	1	1
30948	Bin1	274	BIN1	0	1	0	1	1	0	1	1	1	0	1	1
19417	Rasgrf1	5923	RASGRF1	0	0	0	1	0	0	1	1	1	1	0	0
54683	Prdx5	25824	PRDX5	0	0	0	1	1	1	1	1	1	0	1	1
217893	Pacs2	23241	PACS2	0	0	0	0	1	0	1	1	0	0	0	0
330286	D630045J12Rik	57670	KIAA1549	0	1	0	1	0	0	1	1	1	1	1	0
209630	Frmd4a	55691	FRMD4A	0	0	0	1	0	0	1	1	0	1	0	0
23980	Pebp1	5037	PEBP1	0	1	0	1	1	1	1	1	1	0	1	1
67115	Rpl14	9045	RPL14	0	0	0	1	0	0	1	1	1	0	0	0
13135	Dad1	1603	DAD1	0	0	0	1	0	0	0	1	0	0	1	0
71435	Arhgap21	57584	ARHGAP21	0	1	0	1	1	0	1	1	1	1	1	0
26875	Pclo	27445	PCLO	1	1	0	1	1	1	1	1	1	1	1	1
268932	Caskin1	57524	CASKIN1	1	1	0	1	1	1	1	1	1	0	1	1
19349	Rab7	7879	RAB7A	1	1	0	1	1	1	1	1	1	0	1	1
238799	Tnpo1	3842	TNPO1	0	1	0	0	0	0	0	1	0	0	0	0
13169	Dbnl	28988	DBNL	1	1	0	1	1	0	1	1	1	0	1	1
170762	Nup155	9631	NUP155	0	1	0	1	0	0	0	1	0	0	0	0
236511	Ago1	26523	AGO1	0	1	0	0	0	0	0	0	0	0	0	0
16568	Kif3a	11127	KIF3A	0	0	0	1	0	0	1	1	1	0	0	1
213760	Prepl	9581	PREPL	0	0	0	1	0	0	1	1	1	0	0	0
98878	Ehd4	30844	EHD4	0	0	0	1	0	0	1	1	1	0	0	0
229791	Lppr4	9890	LPPR4	0	0	0	1	0	0	1	1	1	0	1	1
67437	Ssr3	6747	SSR3	0	0	0	1	0	0	0	1	0	0	0	0
16906	Lmnb1	4001	LMNB1	0	0	0	1	0	0	1	1	0	0	1	0
67804	Snx2	6643	SNX2	0	1	0	1	1	0	1	1	1	0	1	1
12908	Crat	1384	CRAT	0	1	0	1	1	0	1	1	1	0	1	0
27062	Cadps	8618	CADPS	1	1	1	1	1	1	1	1	1	0	1	1
26556	Homer1	9456	HOMER1	1	1	0	1	1	1	1	1	1	1	1	1
72821	Scn2b	6327	SCN2B	0	0	0	0	0	1	1	1	1	0	1	0
13191	Dctn1	1639	DCTN1	0	1	1	1	1	0	1	1	1	0	1	1
67886	Camsap2	23271	CAMSAP2	0	1	0	0	1	0	1	1	1	0	0	0
12889	Cplx1	10815	CPLX1	0	0	0	1	1	0	1	1	1	0	1	0
12301	Cacybp	27101	CACYBP	0	1	0	0	1	0	1	1	1	0	0	1
15108	Hsd17b10	3028	HSD17B10	0	1	0	1	1	0	1	1	1	0	1	0
59054	Mrps30	10884	MRPS30	0	0	0	1	0	0	1	1	0	0	1	1
21346	Tagln2	8407	TAGLN2	0	1	0	0	0	0	1	1	0	0	0	0
21981	Ppp1r13b	23368	PPP1R13B	0	0	0	1	0	0	1	1	0	0	0	0
22145	Tuba4a	7277	TUBA4A	0	1	0	1	1	0	1	1	1	0	1	1
28015	Polr2m	81488	POLR2M	0	0	0	1	0	0	0	0	0	0	0	0
18117	Emc8	10328	EMC8	0	1	0	1	0	0	1	1	0	0	0	0
59013	Hnrnph1	3187	HNRNPH1	0	1	0	1	1	0	1	1	0	0	0	1
14804	Grid2	2895	GRID2	0	0	0	1	0	0	1	1	0	0	1	0
68349	Ndufs3	4722	NDUFS3	0	1	0	1	1	1	1	1	1	0	1	1
13204	Dhx15	1665	DHX15	0	1	0	1	0	0	1	0	0	0	0	1
14571	Gpd2	2820	GPD2	0	1	0	1	1	1	1	1	1	0	1	1
217830	9030617O03Rik	80017	C14orf159	0	0	0	0	1	0	0	1	1	0	0	0
232944	Mark4	57787	MARK4	0	0	0	1	0	0	1	1	1	0	0	0
269713	Clip2	7461	CLIP2	0	1	0	1	1	0	1	1	1	0	1	1
19266	Ptprd	5789	PTPRD	0	0	0	1	1	1	1	1	1	0	1	0
66860	Tanc1	85461	TANC1	0	0	0	1	0	0	1	1	0	0	0	1
14702	Gng2	54331	GNG2	0	0	1	1	0	1	1	1	1	0	1	0
19231	Ptma	5757	PTMA	0	1	0	0	0	0	1	0	0	0	0	0
69923	Agk	55750	AGK	0	1	0	1	1	0	1	1	1	0	1	0
67003	Uqcrc2	7385	UQCRC2	0	1	0	1	1	1	1	1	1	0	1	1
14799	Gria1	2890	GRIA1	0	0	0	0	0	1	1	1	1	1	1	1
14402	Gabrb3	2562	GABRB3	0	0	0	1	0	1	1	1	0	0	1	0
19326	Rab11b	9230	RAB11B	1	1	0	1	1	0	1	1	1	0	1	1
18952	04-Sep	5414	04-Sep	0	0	0	1	1	0	1	1	1	1	1	0
73447	Wdr13	64743	WDR13	0	1	0	0	1	0	1	1	0	0	1	0
16898	Rps2	6187	RPS2	0	1	0	0	1	0	1	1	1	0	1	0
19055	Ppp3ca	5530	PPP3CA	0	1	0	1	1	1	1	1	1	0	1	1
333433	Gpd1l	23171	GPD1L	0	1	0	0	0	0	1	1	1	0	1	1
208092	Chmp6	79643	CHMP6	0	1	0	1	0	0	1	1	0	0	0	0
57138	Slc12a5	57468	SLC12A5	1	1	0	1	1	1	1	1	1	0	1	1
30853	Mlf2	8079	MLF2	0	0	0	1	1	0	1	1	0	0	0	0
214663	Slc25a29	123096	SLC25A29	0	1	0	0	0	0	1	1	0	0	0	0
17196	Mbp	4155	MBP	0	0	0	1	1	1	1	1	1	0	1	1
55979	Agpat1	10554	AGPAT1	0	1	0	1	0	0	1	1	0	0	0	0
67900	Mtfp1	51537	MTFP1	0	0	0	1	0	0	1	1	0	0	1	0
27367	Rpl3	6122	RPL3	0	1	0	1	0	0	1	1	1	0	1	0
72349	Dusp3	1845	DUSP3	0	1	0	1	1	0	1	1	0	0	1	0
268890	Lsamp	4045	LSAMP	0	1	0	1	1	1	1	1	1	1	1	1
12632	Cfl2	1073	CFL2	0	0	0	1	1	0	1	1	1	1	1	1
67839	Gpsm1	26086	GPSM1	0	1	0	1	1	0	1	1	0	1	1	0
20340	Glg1	2734	GLG1	0	1	0	1	0	1	1	1	1	0	1	1
320365	Fry	10129	FRY	0	1	0	1	0	0	1	1	0	0	0	0
170718	Idh3b	3420	IDH3B	0	1	0	1	1	1	0	1	1	0	0	0
74383	Ubap2l	9898	UBAP2L	0	0	0	0	1	0	1	0	0	0	1	1
215951	Lace1	246269	LACE1	0	0	0	1	1	0	0	1	1	0	0	0
19087	Prkar2a	5576	PRKAR2A	0	1	0	1	1	1	1	1	1	0	1	1
66590	Farsa	2193	FARSA	0	1	0	1	1	0	1	1	1	0	0	0
99889	Arfip1	27236	ARFIP1	0	1	0	0	1	0	0	0	1	0	0	0
18176	Nras	4893	NRAS	0	1	0	0	1	0	1	1	1	0	1	0
11981	Atp9a	10079	ATP9A	0	0	0	1	0	0	1	1	1	0	1	0
56494	Gosr2	9570	GOSR2	0	1	0	0	0	0	0	1	0	0	0	0
23789	Coro1b	57175	CORO1B	0	1	0	1	1	0	1	1	1	0	0	1
78388	Mvp	9961	MVP	0	1	0	1	1	0	0	1	0	0	0	0
69017	Prrt2	112476	PRRT2	0	1	0	0	1	0	1	1	1	0	1	0
14104	Fasn	2194	FASN	0	1	0	1	1	0	1	1	1	0	1	1
118451	Mrps2	51116	MRPS2	0	1	0	0	0	0	1	1	0	0	0	0
19052	Ppp2ca	5515	PPP2CA	0	0	0	0	1	0	1	1	1	0	1	1
18607	Pdpk1	5170	PDPK1	0	0	0	1	1	0	1	1	1	0	1	0
67771	Arpc5	10092	ARPC5	0	0	0	0	1	0	1	1	1	0	1	1
21923	Tnc	3371	TNC	1	1	0	1	0	0	1	1	0	0	0	1
207375	Fam120c	54954	FAM120C	0	1	0	0	0	0	1	1	0	0	0	0
14957	Hist1h1d	3007	HIST1H1D	0	1	0	0	0	0	1	1	0	0	0	0
66475	Rps23	6228	RPS23	0	1	0	0	0	0	1	1	0	0	0	1
19157	Cyth1	9267	CYTH1	0	0	0	1	0	0	1	1	1	1	0	0
12322	Camk2a	815	CAMK2A	1	1	1	1	1	1	1	1	1	1	1	1
15387	Hnrnpk	3190	HNRNPK	0	1	0	1	1	0	1	1	1	0	1	1
73095	Slc25a42	284439	SLC25A42	0	1	0	0	0	0	1	1	0	0	1	0
241296	Lrrc8a	56262	LRRC8A	0	1	0	0	1	0	1	1	0	0	1	0
100732	Mapre3	22924	MAPRE3	0	1	0	0	1	0	1	1	1	0	1	1
17886	Myh9	4627	MYH9	0	1	0	1	1	0	1	0	1	0	1	1
12751	Tpp1	1200	TPP1	0	1	0	0	1	0	0	1	1	0	0	0
19317	Qk	9444	QKI	0	1	0	1	1	0	1	1	0	0	0	0
56248	Ak3	50808	AK3	0	0	0	1	1	0	1	1	1	0	1	1
19181	Psmc2	5701	PSMC2	0	1	0	1	1	0	1	1	1	0	1	1
18103	Nme2	4831	NME2	0	0	0	1	0	0	1	1	1	0	1	1
69684	Aarsd1	80755	AARSD1	0	0	0	1	1	0	1	1	0	0	0	0
19878	Rock2	9475	ROCK2	0	1	0	1	1	0	1	1	1	0	1	1
68614	Letmd1	25875	LETMD1	0	1	0	0	0	0	1	1	1	0	1	0
231659	Gcn1l1	10985	GCN1	0	1	0	1	0	0	0	1	0	0	0	0
18663	Pgk2	5232	PGK2	0	0	0	1	0	0	1	0	0	0	0	0
18751	Prkcb	5579	PRKCB	0	1	0	1	1	1	1	1	1	0	1	1
66916	Ndufb7	4713	NDUFB7	0	0	1	1	0	0	1	1	1	0	1	0
72634	Tdrkh	11022	TDRKH	0	0	0	1	1	0	1	1	1	0	1	0
230085	Phf24	23349	PHF24	0	1	0	1	1	1	1	1	1	0	1	1
15182	Hdac2	3066	HDAC2	0	1	0	0	0	0	1	0	0	0	0	0
53382	Txnl1	9352	TXNL1	0	1	0	1	1	0	1	1	1	0	0	0
21367	Cntn2	6900	CNTN2	0	0	0	1	1	1	1	1	1	1	1	0
238276	Akap5	9495	AKAP5	1	1	0	1	0	1	1	1	1	1	1	1
