Q16181,Sep-07,Septin-7,55.2,42
P02511,CRYAB,α-Crystallin B chain,66.9,39
P11498,PYC,"Pyruvate carboxylase, mitochondrial",33.4,22
P40926,MDHM,"Malate dehydrogenase, mitochondrial",64.8,29
O43491,E41L2,Band 4.1-like protein 2,38.9,27
O75746,CMC1,Ca2+-binding mitochondrial carrier protein Aralar1,41.6,22
P08133,ANXA6,Annexin A6,47.4,20
Q9UHD8,Sep-09,Septin-9,47.1,24
P21281,VATB2,"V-type proton ATPase subunit B, brain isoform",49.5,31
P26232,CTNA2,Catenin α-2,40.3,22
O94819,KBTBB,Kelch repeat and BTB domain-containing protein 11,47.8,25
Q13423,NNTM,"NAD(P) transhydrogenase, mitochondrial",26.9,21
P60174,TPIS,Triosephosphate isomerase,71.3,32
P51659,DHB4,Peroxisomal multifunctional enzyme type 2,35.7,20
Q13153,PAK1,Serine/threonine-protein kinase PAK 1,49.4,23
Q9Y4G6,TLN2,Talin-2,16.1,21
P09936,UCHL1,Ubiquitin carboxyl-terminal hydrolase isozyme L1,80.3,40
Q92598,HS105,Heat shock protein 105 kDa,37,21
Q9C040,TRIM2,Tripartite motif-containing protein 2,41,23
P16152,CBR1,Carbonyl reductase [NADPH] 1,79.1,26
P14625,ENPL,Endoplasmin,38,22
P55072,TERA,Transitional endoplasmic reticulum ATPase,40.6,21
P42658,DPP6,Dipeptidyl aminopeptidase-like protein 6,32.3,19
P04350,TBB4A,Tubulin β-4A chain,77,146
P11586,C1TC,"C-1-tetrahydrofolate synthase, cytoplasmic",30.7,19
Q9UEY8,ADDG,γ-Adducin,37.7,21
Q9NQC3,RTN4,Reticulon-4,28.9,25
Q9Y2J0,RP3A,Rabphilin-3A,47.7,23
Q8N573,OXR1,Oxidation resistance protein 1,35.5,23
P78357,CNTP1,Contactin-associated protein 1,19.4,20
Q9C0H9,SRCN1,SRC kinase signaling inhibitor 1,37.3,21
P53396,ACLY,ATP-citrate synthase,27.6,19
P49588,SYAC,"Alanine–tRNA ligase, cytoplasmic",29.3,19
O00429,DNM1L,Dynamin-1-like protein,36.1,22
P49411,EFTU,"Elongation factor Tu, mitochondrial",52,19
P68104,EF1A1,Elongation factor 1-α 1,46.3,39
Q9BY11,PACN1,Protein kinase C and casein kinase substrate in neurons protein 1,60.6,24
Q13561,DCTN2,Dynactin subunit 2,48.6,19
O94925,GLSK,"Glutaminase kidney isoform, mitochondrial",39.6,20
P31939,PUR9,Bifunctional purine biosynthesis protein PURH,41.6,19
Q14697,GANAB,Neutral α-glucosidase AB,27.3,18
P18669,PGAM1,Phosphoglycerate mutase 1,54.7,29
Q01814,AT2B2,Plasma membrane Ca2+-transporting ATPase 2,23.9,19
P07195,LDHB,L-lactate dehydrogenase B chain,46.7,23
Q09666,AHNK,Neuroblast differentiation-associated protein AHNAK,25.4,27
Q02750,MP2K1,Dual specificity mitogen-activated protein kinase kinase 1,43.5,20
Q14194,DPYL1,Dihydropyrimidinase-related protein 1,49.3,38
Q12955,ANK3,Ankyrin-3,16.8,43
P45974,UBP5,Ubiquitin carboxyl-terminal hydrolase 5,25.6,18
O75061 AUXI,,Putative tyrosine-protein phosphatase auxilin,29.1,22
Q06830 PRDX1,,Peroxiredoxin-1,60.8,25
Q9ULU8 CAPS1,,Ca2+-dependent secretion activator 1,27.1,18
P60880 SNP25,,Synaptosomal-associated protein 25,72.3,17
Q8WXD9 CSKI1,,Caskin-1,28.2,18
P35612 ADDB,,β-Adducin,32.8,26
P55084 ECHB,,"Trifunctional enzyme subunit β, mitochondrial",37.6,20
Q02218 ODO1,,"2-oxoglutarate dehydrogenase, mitochondrial",27.5,19
P49418 AMPH,,Amphiphysin,37.3,19
O15020 SPTN2,,"Spectrin β chain, brain 2",22.8,32
P21579 SYT1,,Synaptotagmin-1,37.9,18
Q9NYI0 PSD3,,PH and SEC7 domain-containing protein 3,26.5,23
Q96CW1 AP2M1,,AP-2 complex subunit μ,47.6,20
P50990 TCPQ,,T-complex protein 1 subunit θ,42.9,16
Q93050 VPP1,,V-type proton ATPase 116 kDa subunit α isoform 1,21.3,19
O75955 FLOT1,,Flotillin-1,53.4,19
Q08209 PP2BA,,Serine/threonine-protein phosphatase 2B catalytic subunit α,,
"",,isoform,,
"",,,46.5,21
Q8TDJ6 DMXL2,,DmX-like protein 2,15.9,20
P63104 1433Z,,14-3-3 protein ζ/δ,60.8,25
P08237 K6PF,,"6-phosphofructokinase, muscle type",36.8,19
P62937 PPIA,,Peptidyl-prolyl cis-trans isomerase A,81.8,33
Q6VY07 PACS1,,Phosphofurin acidic cluster sorting protein 1,31.1,17
P05141 ADT2,,ADP/ATP translocase 2,50.3,23
P00505 AATM,,"Aspartate aminotransferase, mitochondrial",51.2,25
P10809 CH60,,"60 kDa heat shock protein, mitochondrial",38.6,17
O15075 DCLK1,,Serine/threonine-protein kinase DCLK1,40.7,17
P29401 TKT,,Transketolase,40.5,17
P21796 VDAC1,,Voltage-dependent anion-selective channel protein 1,53.7,26
O14994 SYN3,,Synapsin-3,48.5,21
P78371 TCPB,,T-complex protein 1 subunit β,44.7,18
P24752 THIL,,"Acetyl-CoA acetyltransferase, mitochondrial",49,18
Q8WUM4 PDC6I,,Programmed cell death 6-interacting protein,26.2,16
P55786 PSA,,Puromycin-sensitive aminopeptidase,31.8,16
P13591 NCAM1,,Neural cell adhesion molecule 1,26.1,18
Q15019 Sep-02,,Septin-2,62.3,17
P05023 AT1A1,,Na+/K+-transporting ATPase subunit α-1,41,43
P05091 ALDH2,,"Aldehyde dehydrogenase, mitochondrial",39.9,15
P78356 PI42B,,Phosphatidylinositol-5-phosphate 4-kinase type-2β,48.8,17
O14531 DPYL4,,Dihydropyrimidinase-related protein 4,45.1,20
Q969P0 IGSF8,,Immunoglobulin superfamily member 8,34.8,18
P06396 GELS,,Gelsolin,36.2,20
Q02252 MMSA,,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",48.4,16
P07237 PDIA1,,Protein disulfide-isomerase,48.4,15
P30041,PRDX6,Peroxiredoxin-6,78.1,16
P30153,2AAA,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A α isoform,32.3,16
Q9BPU6,DPYL5,Dihydropyrimidinase-related protein 5,43.1,17
O43175,SERA,D-3-phosphoglycerate dehydrogenase,34.9,16
O95197,RTN3,Reticulon-3,21.6,14
Q15555,MARE2,Microtubule-associated protein RP/EB family member 2,65.1,16
P32004,L1CAM,Neural cell adhesion molecule L1,20.1,16
P49368,TCPG,T-complex protein 1 subunit γ,38.2,15
O60641,AP180,Clathrin coat assembly protein AP180,22.1,19
P40123,CAP2,Adenylyl cyclase-associated protein 2,46.3,16
Q9UDT6,CLIP2,CAP-Gly domain-containing linker protein 2,25,14
P13639,EF2,Elongation factor 2,30,14
P27338,AOFB,Amine oxidase [flavin-containing] B,33.7,16
O75083,WDR1,WD repeat-containing protein 1,38.3,16
Q16795,NDUA9,"NADH dehydrogenase [ubiquinone] 1 α subcomplex subunit 9, mitochondrial",48,15
P35579,MYH9,Myosin-9,20.6,17
P29966,MARCS,Myristoylated alanine-rich C-kinase substrate,48.8,18
P31930,QCR1,"Cytochrome b-c1 complex subunit 1, mitochondrial",40.2,18
Q86VP6,CAND1,Cullin-associated NEDD8-dissociated protein 1,21.7,14
P00338,LDHA,L-lactate dehydrogenase A chain,46.4,21
P36871,PGM1,Phosphoglucomutase-1,35.2,14
Q99747,SNAG,γ-Soluble NSF attachment protein,47.4,14
P31323,KAP3,cAMP-dependent protein kinase type II-β regulatory subunit,41.2,15
P26038,MOES,Moesin,32.8,14
P31948,STIP1,Stress-induced-phosphoprotein 1,38.9,14
P30086,PEBP1,Phosphatidylethanolamine-binding protein 1,86.1,19
P62258,1433E,14-3-3 protein ε,58,19
Q9UQB8,BAIP2,Brain-specific angiogenesis inhibitor 1-associated protein 2,40.6,14
O75390,CISY,"Citrate synthase, mitochondrial",30.5,15
Q92823,NRCAM,Neuronal cell adhesion molecule,26.2,15
P08559,ODPA,"Pyruvate dehydrogenase E1 component subunit α, somatic form, mitochondrial",42.1,17
Q9Y617,SERC,Phosphoserine aminotransferase,36.8,14
P34932,HSP74,Heat shock 70 kDa protein 4,31.3,17
Q99962,SH3G2,Endophilin-A1,42.1,15
P54652,HSP72,Heat shock-related 70 kDa protein 2,54.2,37
Q99623,PHB2,Prohibitin-2,59.5,16
Q7L099,RUFY3,Protein RUFY3,41.4,14
Q13367,AP3B2,AP-3 complex subunit β-2,17.8,15
Q9UHC6,CNTP2,Contactin-associated protein-like 2,21.2,14
P05026,AT1B1,Na+/K+-transporting ATPase subunit β-1,39.6,21
P10909,CLUS,Clusterin,38.8,17
Q8N1G4,LRC47,Leucine-rich repeat-containing protein 47,36.5,13
Q08495,DEMA,Dematin,51.1,15
P41250,SYG,Glycine–tRNA ligase,28.6,13
P09104,ENOG,γ-Enolase,54.6,29
P28482,MK01,Mitogen-activated protein kinase 1,39.4,13
P22695,QCR2,"Cytochrome b-c1 complex subunit 2, mitochondrial",34.4,25
P62873,GBB1,Guanine nucleotide-binding protein Gi/Gs/Gt subunit β-1,30,18
P09622,DLDH,"Dihydrolipoyl dehydrogenase, mitochondrial",30.8,15
P52306,GDS1,Rap1 GTPase-GDP dissociation stimulator 1,26.5,13
O94760,DDAH1,"NG,NG-dimethylarginine dimethylaminohydrolase 1",55.1,18
O94811,TPPP,Tubulin polymerization-promoting protein,74.4,19
P49419,AL7A1,α-Aminoadipic semialdehyde dehydrogenase,35.3,15
O95757,HS74L,Heat shock 70 kDa protein 4L,33.4,17
Q92777,SYN2,Synapsin-2,45.9,35
O00154,BACH,Cytosolic acyl coenzyme A thioester hydrolase,40.5,14
O60313,OPA1,"Dynamin-like 120 kDa protein, mitochondrial",22,13
P78324,SHPS1,Tyrosine-protein phosphatase non-receptor type substrate 1,40.5,20
O43237,DC1L2,Cytoplasmic dynein 1 light intermediate chain 2,38.8,14
O43707,ACTN4,α-Actinin-4,31.5,13
Q9UKU0,ACSL6,Long-chain-fatty-acid–CoA ligase 6,28.1,13
Q9UPY8,MARE3,Microtubule-associated protein RP/EB family member 3,60.1,15
Q92900,RENT1,Regulator of nonsense transcripts 1,20.1,13
Q13509,TBB3,Tubulin β-3 chain,68.7,118
P61981,1433G,14-3-3 protein γ,58.7,23
P32119,PRDX2,Peroxiredoxin-2,38.9,19
Q2M2I8,AAK1,AP2-associated protein kinase 1,21.9,12
P09417,DHPR,Dihydropteridine reductase,56.2,19
P15104,GLNA,Glutamine synthetase,31.9,17
O75306,NDUS2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",38.4,12
P30038,AL4A1,"Δ-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",33.2,13
P09471,GNAO,Guanine nucleotide-binding protein Go subunit α,52.3,17
Q7Z4S6,KI21A,Kinesin-like protein KIF21A,13.7,12
Q02978,M2OM,Mitochondrial 2-oxoglutarate/malate carrier protein,51.3,14
O94973,AP2A2,AP-2 complex subunit α-2,30,20
Q92599,Sep-08,Septin-8,40.2,22
P02768,ALBU,Serum albumin,27.4,22
P49821,NDUV1,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",41.6,14
Q9BQI5,SGIP1,SH3-containing GRB2-like protein 3-interacting protein 1,25.7,12
Q9P2R7,SUCB1,"Succinyl-CoA ligase [ADP-forming] subunit β, mitochondrial",34.8,13
P07954,FUMH,"Fumarate hydratase, mitochondrial",34.1,12
O14639,ABLM1,Actin-binding LIM protein 1,32.3,14
Q16799,RTN1,Reticulon-1,22.7,13
O75891,AL1L1,Cytosolic 10-formyltetrahydrofolate dehydrogenase,28.8,14
P36776,LONM,"Lon protease homolog, mitochondrial",13,12
P55809,SCOT1,"Succinyl-CoA:3-ketoacid-coenzyme A transferase 1, mitochondrial",32.3,14
Q9H9B4,SFXN1,Sideroflexin-1,48.5,12
P68871,HBB,Hæmoglobin subunit β,78.9,15
Q9Y4L1,HYOU1,Hypoxia up-regulated protein 1,22.3,13
Q4V328,GRAP1,GRIP1-associated protein 1,27.5,11
P40925,MDHC,"Malate dehydrogenase, cytoplasmic",47.9,18
P27816,MAP4,Microtubule-associated protein 4,27.2,13
Q7Z3D6,CN159,"UPF0317 protein C14orf159, mitochondrial",21.6,11
Q96QK1,VPS35,Vacuolar protein sorting-associated protein 35,23,13
O75116,ROCK2,ρ-Associated protein kinase 2,23.9,13
P06241,FYN,Tyrosine-protein kinase Fyn,24.6,11
Q14195,DPYL3,Dihydropyrimidinase-related protein 3,41.4,21
Q99719,Sep-05,Septin-5,39.6,14
Q13554,KCC2B,Ca2+/calmodulin-dependent protein kinase type II subunit β,34.1,24
P31146,COR1A,Coronin-1A,30.8,11
P50213,IDH3A,"Isocitrate dehydrogenase [NAD] subunit α, mitochondrial",38.5,15
Q16658,FSCN1,Fascin,29.6,15
Q13228,SBP1,Selenium-binding protein 1,34.8,11
P62760,VISL1,Visinin-like protein 1,59.2,11
P48047,ATPO,"ATP synthase subunit O, mitochondrial",61,12
P00918,CAH2,Carbonic anhydrase 2,62.3,12
P78352,DLG4,Disks large homolog 4,25.4,11
P63151,2ABA,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B α isoform,36.7,12
Q9UDY2,ZO2,Tight junction protein ZO-2,21.4,12
Q02790,FKBP4,Peptidyl-prolyl cis-trans isomerase FKBP4,41,12
O00499,BIN1,Myc box-dependent-interacting protein 1,27.5,16
P35222,CTNB1,Catenin β-1,27.8,11
P17252,KPCA,Protein kinase C α type,30.8,14
P13073,COX41,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",56.2,11
P43304,GPDM,"Glycerol-3-phosphate dehydrogenase, mitochondrial",26.1,11
Q14155,ARHG7,ρ Guanine nucleotide exchange factor 7,25.7,13
P14550,AK1A1,Alcohol dehydrogenase [NADP+],39.4,11
P11177,ODPB,"Pyruvate dehydrogenase E1 component subunit β, mitochondrial",41.5,12
P43034,LIS1,Platelet-activating factor acetylhydrolase IB subunit α,39.5,12
O15240,VGF,Neurosecretory protein VGF,28.1,10
P37840,SYUA,α-Synuclein,66.4,17
P61163,ACTZ,α-Centractin,41.8,13
P10515,ODP2,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",26.3,10
Q9H0B6,KLC2,Kinesin light chain 2,29.3,12
P61604,CH10,"10 kDa heat shock protein, mitochondrial",80.4,13
Q8TAM6,ERMIN,Ermin,41.6,12
P08195,4F2,4F2 cell-surface antigen heavy chain,24.6,10
Q14764,MVP,Major vault protein,23.2,11
O75781,PALM,Paralemmin-1,48.6,14
O75145,LIPA3,Liprin-α-3,33.3,12
Q99832,TCPH,T-complex protein 1 subunit η,25.1,11
Q12931,TRAP1,"Heat shock protein 75 kDa, mitochondrial",35.1,13
Q9NQ66,PLCB1,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase β1",15.5,10
Q9UN36,NDRG2,Protein NDRG2,36.9,15
O60331,PI51C,Phosphatidylinositol-4-phosphate 5-kinase type-1 γ,20.7,10
Q9UQB3,CTND2,Catenin δ-2,21.1,11
Q9UBB6,NCDN,Neurochondrin,18.8,11
Q15334,L2GL1,Lethal(2) giant larvæ protein homolog 1,18.9,10
Q9UI15,TAGL3,Transgelin-3,58.8,11
Q8IXJ6,SIRT2,NAD-dependent deacetylase sirtuin-2,29.1,11
P07339,CATD,Cathepsin D,34.2,16
P80404,GABT,"4-aminobutyrate aminotransferase, mitochondrial",40.6,11
P48147,PPCE,Prolyl endopeptidase,27.2,11
P31946,1433B,14-3-3 protein β/α,63.4,21
P11940,PABP1,Polyadenylate-binding protein 1,31,11
P0CG48,UBC,Polyubiquitin-C,90.8,10
P61266,STX1B,Syntaxin-1B,39.2,10
P23284,PPIB,Peptidyl-prolyl cis-trans isomerase B,67.1,10
P17980,PRS6A,26S protease regulatory subunit 6A,35.3,10
P49802,RGS7,Regulator of G-protein signaling 7,31.9,11
P16870,CBPE,Carboxypeptidase E,31.7,11
Q9NSD9,SYFB,Phenylalanine–tRNA ligase β subunit,18.5,10
Q9NR46,SHLB2,Endophilin-B2,38.5,9
P50993,AT1A2,Na+/K+-transporting ATPase subunit α-2,37.9,32
P17987,TCPA,T-complex protein 1 subunit α,23.7,12
Q9Y4E6,WDR7,WD repeat-containing protein 7,11.7,10
Q9H115,SNAB,β-Soluble NSF attachment protein,55.7,11
Q14515,SPRL1,SPARC-like protein 1,27.7,9
Q00325,MPCP,"Phosphate carrier protein, mitochondrial",30.1,11
Q9NRW7,VPS45,Vacuolar protein sorting-associated protein 45,22.8,9
P05413,FABPH,"Fatty acid-binding protein, heart",79,10
P61019,RAB2A,Ras-related protein Rab-2A,61.8,10
Q15811,ITSN1,Intersectin-1,15.9,11
Q9NVE7,PANK4,Pantothenate kinase 4,18.2,10
P11217,PYGM,"Glycogen phosphorylase, muscle form",38.5,17
Q12979,ABR,Active breakpoint cluster region-related protein,20.7,9
P22061,PIMT,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,44.9,16
Q96FC7,PHIPL,Phytanoyl-CoA hydroxylase-interacting protein-like,31.9,12
Q99497,PARK7,Protein DJ-1,48.7,13
Q5T5C0,STXB5,Syntaxin-binding protein 5,13.9,9
P00441,SODC,Superoxide dismutase [Cu-Zn],53.9,11
Q14240,IF4A2,Eukaryotic initiation factor 4A-II,34.4,12
Q8IU85,KCC1D,Ca2+/calmodulin-dependent protein kinase type 1D,29.9,10
Q9UH03,Sep-03,Neuronal-specific septin-3,34.4,13
P04792,HSPB1,Heat shock protein β-1,57.1,12
Q6H8Q1,ABLM2,Actin-binding LIM protein 2,36.5,10
P09110,THIK,"3-ketoacyl-CoA thiolase, peroxisomal",37.5,10
Q00535,CDK5,Cyclin-dependent kinase 5,43.8,10
Q9NTK5,OLA1,Obg-like ATPase 1,33.8,9
Q8N111,CEND,Cell cycle exit and neuronal differentiation protein 1,71.1,17
P05090,APOD,Apolipoprotein D,45,10
O95292,VAPB,Vesicle-associated membrane protein-associated protein B/C,40.7,9
O00764,PDXK,Pyridoxal kinase,33.3,9
P47756,CAPZB,F-actin-capping protein subunit β,47.7,10
Q9HDC9,APMAP,Adipocyte plasma membrane-associated protein,29.1,12
Q02338,BDH,"D-β-Hydroxybutyrate dehydrogenase, mitochondrial",32.1,9
Q92614,MY18A,Unconventional myosin-XVIIIa,15.1,10
P16615,AT2A2,Sarcoplasmic/endoplasmic reticulum Ca2+ ATPase 2,17.1,9
Q7Z406,MYH14,Myosin-14,15.8,13
P45985,MP2K4,Dual specificity mitogen-activated protein kinase kinase 4,48.6,9
Q9BRX8,F213A,Redox-regulatory protein FAM213A,36.7,9
Q04917,1433F,14-3-3 protein η,52.9,14
Q9GZV7,HPLN2,Hyaluronan and proteoglycan link protein 2,34.7,9
Q07960,RHG01,ρ GTPase-activating protein 1,39,9
A0MZ66,SHOT1,Shootin-1,26.5,9
P27824,CALX,Calnexin,22,11
Q16851,UGPA,UTP–glucose-1-phosphate uridylyltransferase,31.9,9
Q12765,SCRN1,Secernin-1,38.2,12
P46379,BAG6,Large proline-rich protein BAG6,15,9
O43837,IDH3B,"Isocitrate dehydrogenase [NAD] subunit β, mitochondrial",33.5,10
Q9BX66,SRBS1,Sorbin and SH3 domain-containing protein 1,18.3,9
P30048,PRDX3,"Thioredoxin-dependent peroxide reductase, mitochondrial",46.1,16
Q9UDY4,DNJB4,DnaJ homolog subfamily B member 4,37.4,9
P07737,PROF1,Profilin-1,67.1,10
Q9HCH3,CPNE5,Copine-5,27.7,8
P52565,GDIR1,ρ GDP-dissociation inhibitor 1,50,9
P20336,RAB3A,Ras-related protein Rab-3A,44.1,10
Q9ULD0,OGDHL,"2-oxoglutarate dehydrogenase-like, mitochondrial",23.5,17
O14576,DC1I1,Cytoplasmic dynein 1 intermediate chain 1,25.4,8
Q92747,ARC1A,Actin-related protein 2/3 complex subunit 1A,33,10
Q9Y6V0,PCLO,Protein piccolo,8.2,14
O95433,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,33.7,9
P54577,SYYC,"Tyrosine–tRNA ligase, cytoplasmic",34.3,9
P50395,GDIB,Rab GDP dissociation inhibitor β,49,20
Q9Y2T3,GUAD,Guanine deaminase,30.8,9
P17858,K6PL,"6-phosphofructokinase, liver type",26.9,15
P02794,FRIH,Ferritin heavy chain,51.4,12
Q9ULR3,PPM1H,Protein phosphatase 1H,19.1,9
O60784,TOM1,Target of Myb protein 1,26.4,10
Q53HC0,CCD92,Coiled-coil domain-containing protein 92,34.4,9
P50991,TCPD,T-complex protein 1 subunit δ,37.5,9
Q9UBC2,EP15R,Epidermal growth factor receptor substrate 15-like 1,22.3,10
Q9Y277,VDAC3,Voltage-dependent anion-selective channel protein 3,42.8,12
O00571,DDX3X,ATP-dependent RNA helicase DDX3X,23.1,9
P62333,PRS10,26S protease regulatory subunit 10B,40.4,8
Q16543,CDC37,Hsp90 co-chaperone Cdc37,28.8,8
Q01518,CAP1,Adenylyl cyclase-associated protein 1,33.1,12
Q9NSE4,SYIM,"Isoleucine–tRNA ligase, mitochondrial",13.3,9
Q9BSJ8,ESYT1,Extended synaptotagmin-1,16.4,8
P28838,AMPL,Cytosol aminopeptidase,30.6,9
Q13596,SNX1,Sorting nexin-1,21.7,8
O60861,GAS7,Growth arrest-specific protein 7,26.9,9
P27797,CALR,Calreticulin,45.6,8
Q9Y2I8,WDR37,WD repeat-containing protein 37,27.9,9
P42704,LPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial",19,9
Q9UHD9,UBQL2,Ubiquilin-2,22.9,10
P30044,PRDX5,"Peroxiredoxin-5, mitochondrial",46.7,11
Q9UNZ2,NSF1C,NSFL1 cofactor p47,42.2,11
Q00013,EM55,55 kDa erythrocyte membrane protein,32.8,8
Q05639,EF1A2,Elongation factor 1-α 2,44.3,34
Q6NV74,CB055,Uncharacterized protein C2orf55,18.8,8
P61201,CSN2,COP9 signalosome complex subunit 2,28.4,9
Q92597,NDRG1,Protein NDRG1,38.1,14
P45880,VDAC2,Voltage-dependent anion-selective channel protein 2,37.1,11
P21291,CSRP1,Cysteine and glycine-rich protein 1,70.5,12
O95831,AIFM1,"Apoptosis-inducing factor 1, mitochondrial",18.9,8
P04179,SODM,"Superoxide dismutase [Mn], mitochondrial",42.8,8
Q66K74,MAP1S,Microtubule-associated protein 1S,18.1,8
P21397,AOFA,Amine oxidase [flavin-containing] A,28.5,10
O60268,K0513,Uncharacterized protein KIAA0513,24.6,10
O14964,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,13.8,9
P54578,UBP14,Ubiquitin carboxyl-terminal hydrolase 14,32.6,8
Q8NC96,NECP1,Adaptin ear-binding coat-associated protein 1,31.3,11
O14745,NHRF1,Na+/H+ exchange regulatory cofactor NHE-RF1,42.2,9
P00568,KAD1,Adenylate kinase isoenzyme 1,45.4,9
Q9UHG3,PCYOX,Prenylcysteine oxidase 1,24.6,8
P26641,EF1G,Elongation factor 1-γ,28.6,8
